"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099003","vesicle-mediated transport in synapse","110/3787","258/18805",0.426356589147287,2.11714699205565,9.07298225182582,1.16519121047333e-16,7.29992293361544e-13,6.12890576708974e-13,"ARHGDIA/DNM1/SLC17A7/AP2M1/CPLX1/STXBP1/BRSK2/LPAR1/HPCA/SYN1/CDK5/SYNGR3/AP3D1/CTBP1/CPLX2/VPS35/STX1B/SH3GL1/SV2B/RPH3A/RAB7A/ATP6V1F/CALY/SYN3/SYN2/AP3S2/ATP6V0C/PLD1/NAPA/PIP5K1C/PPP3R1/VAC14/SNAP25/TOR1A/SLC17A6/NCDN/SNCA/RIMS1/SV2A/DNM3/SNAP47/SEPTIN5/AAK1/ATP6V0D1/ATP6V1G2/RAB3A/DNAJC5/RIMS2/ATP6V1A/TPRG1L/CADPS/BRAF/CALM3/SYT7/NRXN1/SYT5/UNC13A/CALM1/PCDH17/SUSD4/SYT13/SH3GL2/ATP6V0A1/TAMALIN/PPFIA3/PREPL/DOC2A/ATP6V1E1/RAB3B/SNAP29/AP3M2/AMPH/DNAJC6/ARC/AP3B2/PIK3C3/STON2/GRIK5/GIT2/BIN1/STON1/CSPG5/C9orf72/ATP6V1H/ACTB/AP2A2/EFNB2/SNCG/PICALM/SYT17/SLC32A1/VAMP4/RABEP1/BRSK1/NLGN3/AP2S1/PTEN/PPP3CC/CAPN2/MKLN1/RPH3AL/PRKAR1B/ITSN2/ATP2A2/FBXL20/MDM2/SNAP23/NSG1/NUMB/ITGB3",110
"GO:0099504","synaptic vesicle cycle","91/3787","222/18805",0.40990990990991,2.03547817688298,7.7933870942065,7.91358299018055e-13,2.47892987167406e-09,2.08127232641748e-09,"ARHGDIA/DNM1/SLC17A7/AP2M1/CPLX1/STXBP1/BRSK2/LPAR1/SYN1/CDK5/SYNGR3/AP3D1/CTBP1/CPLX2/STX1B/SH3GL1/SV2B/RPH3A/RAB7A/ATP6V1F/SYN3/SYN2/AP3S2/ATP6V0C/PLD1/NAPA/PIP5K1C/PPP3R1/SNAP25/TOR1A/SLC17A6/SNCA/RIMS1/SV2A/DNM3/SNAP47/SEPTIN5/ATP6V0D1/ATP6V1G2/RAB3A/DNAJC5/RIMS2/ATP6V1A/TPRG1L/CADPS/BRAF/SYT7/NRXN1/SYT5/UNC13A/PCDH17/SYT13/SH3GL2/ATP6V0A1/PPFIA3/PREPL/DOC2A/ATP6V1E1/RAB3B/SNAP29/AP3M2/AMPH/DNAJC6/AP3B2/PIK3C3/STON2/GRIK5/GIT2/BIN1/STON1/CSPG5/C9orf72/ATP6V1H/ACTB/AP2A2/SNCG/PICALM/SLC32A1/VAMP4/BRSK1/NLGN3/AP2S1/PTEN/PPP3CC/CAPN2/RPH3AL/PRKAR1B/ITSN2/ATP2A2/FBXL20/SNAP23",91
"GO:0010975","regulation of neuron projection development","144/3787","448/18805",0.321428571428571,1.59610886868611,6.41254550531907,9.49740964311283e-10,1.9833757138034e-06,1.66521249075912e-06,"MAP6/L1CAM/SF3A2/BRSK2/OBSL1/NRCAM/LPAR1/INPP5J/PTPRF/CDK5/THY1/ITPKA/ACAP3/FIG4/HECW1/FSTL4/CAPRIN2/KATNB1/FKBP1B/STX1B/EFNB3/LZTS3/PDLIM5/TNR/SPP1/ABI2/IGF1R/CHRNB2/RTN4R/SNAP25/KREMEN1/MGARP/SERPINF1/FAT3/NEFL/CAMK2B/KIF1A/B2M/TENM3/NTRK3/EFNA1/SHTN1/DNM3/PAK1/KNDC1/DAB1/MAP2K2/NFE2L2/SARM1/PAK2/BMP7/SCARB2/STMN2/DMD/DDR2/BRAF/MACF1/TNIK/NCKIPSD/KANK1/CAPRIN1/RUFY3/PTPRG/ARHGAP35/LRRC4C/BAIAP2/CRKL/FGFR1/NEO1/EHD1/ANAPC2/ARHGAP4/ROBO2/KAT2B/NEGR1/MAGI2/SKIL/DGKG/FES/PRAG1/NCK1/CAMK2G/SFRP2/EPHA4/CHN1/ELAVL4/NTRK2/LRP4/ARC/PTK6/PPP2R5B/FN1/MAP1B/ATP8A2/MAPT/LYN/APOE/ATOH7/PLXNB1/SNX3/CDH4/GFAP/DRAXIN/EFNB2/RTN4IP1/ENC1/RAPGEF2/PPP3CA/BMPR1A/TRAK1/BRSK1/KDM1A/TANC2/NEU4/PTEN/ALKAL2/AKT1/DISC1/DPYSL3/CDKL5/TWF1/DENND5A/KIF13B/ADNP/EPHB2/PREX1/CAMK1D/LIMK1/SEZ6/CRMP1/RET/MDM2/SEMA3G/PMP22/CFLAR/PLA2G3/SFRP1/CARM1/POU3F2/RAB21/PRRX1/ARHGAP33/RTN4RL1/LZTS1",144
"GO:0007409","axonogenesis","143/3787","459/18805",0.311546840958606,1.54703943602497,5.9582813633516,1.07100712108902e-08,1.67746490340567e-05,1.40837436423206e-05,"MAP6/L1CAM/LHX2/LAMA2/STXBP1/BRSK2/NRCAM/SPTBN4/MAP1S/CDK5/THY1/OLFM1/FSTL4/SLIT3/NCAM1/ARK2C/EFNB3/CYFIP2/LGI1/TNR/SPP1/BMPR1B/IGF1R/CHRNB2/RTN4R/SNAP25/ETV1/SEMA6A/PALLD/KIFC2/NEFL/DSCAML1/APBB2/KIF5B/KLF7/EFNA1/SHTN1/PAK1/NFIB/TCTN1/SEMA6B/DAB1/MAP2K2/RAB3A/PAK2/BMP7/PARD6B/PTK2/ADAM17/ADGRB1/GAP43/TUBB3/EPHB6/BRAF/MACF1/EVL/NRXN1/RUFY3/ARHGAP35/APLP1/LRRC4C/EPHA5/BAIAP2/NEO1/ANAPC2/ARHGAP4/ROBO2/STMN1/ADCY1/NRP2/UNC5D/ARHGEF40/SKIL/UCHL1/ATL1/RAPH1/EPHA4/CCK/NRXN3/CHN1/NTRK2/APLP2/LRP4/NOTCH2/AFG3L2/FGFR2/FN1/MAP1B/ATP8A2/MAPT/PRICKLE1/ARHGEF28/APOE/ATOH7/LHX3/BOC/PLXNB1/CDH4/C9orf72/NPR2/ACTB/DRAXIN/EFNB2/PICALM/SLC9A6/FLRT3/TRAK1/BRSK1/NLGN3/KIF5A/RPS6KA5/PTEN/CTTN/FLOT1/DISC1/GDNF/CDKL5/KIF13B/BSG/ADNP/EPHB2/LIMK1/NTN3/S100A6/CREB1/SEMA3B/RET/S100B/SEMA4A/DCLK1/SEMA3G/FEZ2/DOCK7/POU3F2/RAB21/SMO/KIAA1755/SLITRK2/NUMB/PRKG1/NR4A2/LMO4/PLEKHG4B",143
"GO:0022604","regulation of cell morphogenesis","86/3787","247/18805",0.348178137651822,1.72893844165369,5.79082538135054,4.47239988385168e-08,5.60391705446615e-05,4.70496467781197e-05,"ALDOA/CPNE6/CORO1A/OBSL1/LPAR1/ITPKA/FMNL2/CAPRIN2/WDR1/CD44/DMTN/RHOU/MSN/CFAP410/CAMK2B/RIMS1/EZR/PALMD/ARHGEF7/BRWD1/PTK2/ERMN/RIMS2/MYO9A/CXCR4/MACF1/DLG1/KANK1/RHOBTB2/CAPRIN1/MYH10/UNC13A/ARHGAP35/SH3KBP1/BAIAP2/ANAPC2/SYNE3/GNA12/SYT3/SPAG9/PRPF40A/SEPTIN7/FES/PRAG1/RHOQ/EPB41L3/EPHA4/ENPP2/ZRANB1/ARC/FGD5/CAPZB/FN1/ANXA1/CAMSAP1/SRC/PLXNB1/ATP10A/PHIP/CDC42EP3/LST1/CPNE5/PDPN/SYT17/TPM1/PALM/CDKL5/STRIP2/MKLN1/RREB1/EPHB2/FERMT2/ITSN2/PALM2AKAP2/TBCCD1/DVL3/SEMA4A/MYO10/RHOJ/CDC42EP5/NF2/FGD2/RDX/RAB21/COCH/CCL3",86
"GO:0007269","neurotransmitter secretion","58/3787","148/18805",0.391891891891892,1.94600660866835,5.80190810831821,7.20491262368841e-08,6.44839679820112e-05,5.41397720008586e-05,"CPLX1/STXBP1/SYN1/CDK5/SYNGR3/CPLX2/STX1B/SV2B/RPH3A/SYN3/SYN2/ABCC8/NRXN2/NAPA/PIP5K1C/BAIAP3/SNAP25/SNCA/RIMS1/SV2A/SNAP47/SEPTIN5/RAB3A/KCNMB4/DNAJC5/RIMS2/TPRG1L/CADPS/BRAF/SYT7/NRXN1/SYT5/UNC13A/NF1/SYT13/MYOF/PPFIA3/PREPL/PNKD/DOC2A/PDZD11/LIN7B/SNAP29/GRIK5/MEF2C/CSPG5/PTPRN2/SNCG/SLC38A2/SLC32A1/ADORA2A/BRSK1/GPER1/RPH3AL/ATP2A2/FBXL20/SNAP23/LIN7C",58
"GO:0099643","signal release from synapse","58/3787","148/18805",0.391891891891892,1.94600660866835,5.80190810831821,7.20491262368841e-08,6.44839679820112e-05,5.41397720008586e-05,"CPLX1/STXBP1/SYN1/CDK5/SYNGR3/CPLX2/STX1B/SV2B/RPH3A/SYN3/SYN2/ABCC8/NRXN2/NAPA/PIP5K1C/BAIAP3/SNAP25/SNCA/RIMS1/SV2A/SNAP47/SEPTIN5/RAB3A/KCNMB4/DNAJC5/RIMS2/TPRG1L/CADPS/BRAF/SYT7/NRXN1/SYT5/UNC13A/NF1/SYT13/MYOF/PPFIA3/PREPL/PNKD/DOC2A/PDZD11/LIN7B/SNAP29/GRIK5/MEF2C/CSPG5/PTPRN2/SNCG/SLC38A2/SLC32A1/ADORA2A/BRSK1/GPER1/RPH3AL/ATP2A2/FBXL20/SNAP23/LIN7C",58
"GO:0051258","protein polymerization","93/3787","282/18805",0.329787234042553,1.63761524588598,5.41744246236409,2.36360290492417e-07,0.000179937475742385,0.000151072804853144,"VILL/SPTAN1/TUBB4A/CORO1A/GSN/CLIP3/TUBG1/ARPC4/INPP5J/SPTBN4/TUBGCP6/NME7/SPTBN2/ZNF207/TUBG2/CYFIP2/GPX4/DMTN/ADD3/MAP4/DCTN1/SNCA/NEFL/FAM107A/PAK1/SLAIN1/MET/TUBA1A/RPS3/HAUS4/CORO7/CKAP5/ARHGEF7/PDE4DIP/CSNK1D/STMN2/TUBGCP2/EVL/VTN/DLG1/ARL6/KANK1/HDGFL3/SPTBN1/DAAM2/TUBGCP4/BAIAP2/MSRB1/HIP1R/FLII/SSH1/STMN1/MAPRE3/CCDC57/HSPA1A/FES/NCK1/PRKCE/GOLGA2/MAP1B/MAPT/BIN1/CAMSAP1/NEDD1/SVIL/CRACD/MID1IP1/CDC42EP3/HAX1/SSH2/MKKS/INF2/NDE1/TPX2/FCHSD2/MLST8/CTTN/WDR72/TWF1/PREX1/NCKAP1L/MAP7D3/KANK2/SCIN/ADD2/HAUS6/ELN/RNF135/CDC42EP5/RDX/ARPC5/PRUNE1/UBE2S",93
"GO:0006836","neurotransmitter transport","74/3787","211/18805",0.350710900473934,1.74151531117305,5.43928307350414,2.73681667297395e-07,0.000179937475742385,0.000151072804853144,"SLC17A7/CPLX1/STXBP1/SYN1/CDK5/SYNGR3/CPLX2/STX1B/SV2B/SLC1A6/RPH3A/SYN3/SYN2/ABCC8/NRXN2/NAPA/PIP5K1C/BAIAP3/SNAP25/TOR1A/SLC17A6/SNCA/RIMS1/SV2A/SNAP47/SEPTIN5/RAB3A/KCNMB4/DNAJC5/RIMS2/TPRG1L/CADPS/BRAF/SYT7/NRXN1/SYT5/UNC13A/NF1/SYT13/MYOF/PPFIA3/PREPL/PNKD/DOC2A/PDZD11/LIN7B/RAB3B/SNAP29/GRIK5/MEF2C/CSPG5/GFAP/NOS1/PTPRN2/SNCG/SLC38A2/CLN8/SLC32A1/ADORA2A/BRSK1/GPER1/GPM6B/FLOT1/ATP1A2/GDNF/RPH3AL/SLC1A2/SLC6A16/ATP2A2/FBXL20/SNAP23/ITGB3/SLC6A8/LIN7C",74
"GO:0030900","forebrain development","126/3787","413/18805",0.305084745762712,1.51495079061732,5.31365067194525,2.87210655614341e-07,0.000179937475742385,0.000151072804853144,"LHX2/LPAR1/PLXNA1/TTC21B/CHD5/CDK5/C21orf91/ZIC1/FOXP1/NSUN5/ZDHHC16/TNR/DPCD/ATP2B4/NOTCH2NLA/IGF1R/CHRNB2/RTN4R/GRIA1/MGARP/RFX4/FXR1/NEFL/RPGRIP1L/B2M/NARS1/TUBB2A/NFIB/FGF2/TCTN1/TUBA1A/SEMA6B/DAB1/LARGE1/NEUROD1/LEF1/CXCR4/BNIP3/UQCRQ/PTCHD1/ARHGAP35/APLP1/EPHA5/CRKL/FGFR1/NF1/TRA2B/RARB/MBOAT7/H2AX/YWHAE/KIRREL3/ROBO2/PHLPP2/PGAP1/NRP2/LRP2/ZEB1/XRCC1/WNT2B/SRD5A1/ELAVL4/LAMB1/E2F1/NTRK2/AGTPBP1/UBB/FGFR2/SCN2A/METTL3/BMERB1/LHX3/SRC/BAX/DRAXIN/SLC38A2/SKI/MKKS/AKIRIN2/RAPGEF2/BMPR1A/SLC32A1/SLC7A11/NDE1/KDM1A/ZSWIM6/PTEN/SOX2/ID4/ATP1A2/DISC1/POU3F3/SUN1/NEUROD6/PROX1/KDM6B/ATAT1/TMEM108/SSTR4/NHLH2/PROP1/EPHB2/EFHC1/SETD2/CHD7/FRS2/PEX13/UCHL5/SOCS7/SLC1A2/CREB1/CDK6/DCLK1/EGFR/DOCK7/NF2/POU3F2/UBA6/SMO/SALL1/SSTR1/NUMB/EMX2/PRKG1/RTN4RL1/NR4A2",126
